objectid,wd18cd,wd18nm,wd18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E05000026,Abbey, ,544434,184378,0.081291,51.53979874,1282925.10985589,6244.88516977623
2,E05000027,Alibon, ,549247,185196,0.150987,51.54589844,1364442.40890142,6353.91794270082
3,E05000028,Becontree, ,546863,185869,0.116912,51.55260086,1288081.85926418,6341.64600848966
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.58340073,3384190.64730009,9603.41196848052
5,E05000030,Eastbrook, ,550774,186272,0.173453,51.55519867,3450576.74101269,8987.80244461021
6,E05000031,Eastbury, ,546074,183978,0.104756,51.53580093,1439218.27195555,6828.14406562353
7,E05000032,Gascoigne, ,544763,183581,0.085704,51.5326004,1138715.89294415,5947.83053059888
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.5359993,1277822.95818954,5703.29651756958
9,E05000034,Heath, ,549340,186620,0.152931,51.55870056,2001301.55299095,8064.95310323599
10,E05000035,Longbridge, ,545276,184914,0.093644,51.54439926,1645289.23409832,6377.03189645088
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.54520035,1856444.49440574,7635.29944644839
12,E05000037,Parsloes, ,548150,185599,0.13534801,51.54980087,1243847.31117255,6796.70616460796
13,E05000038,River, ,549432,182817,0.15264501,51.5245018,3543669.87618779,10383.7075509101
14,E05000039,Thames, ,547151,182704,0.119742,51.52410126,7888496.38059307,13329.8857714172
15,E05000040,Valence, ,548153,186867,0.13592499,51.56119919,1292828.19489341,5791.45630900723
16,E05000041,Village, ,550361,184190,0.166611,51.53659821,2147501.29018495,7860.12074314978
17,E05000042,Whalebone, ,548545,187662,0.141911,51.56829834,1553978.10274885,7013.80334067758
18,E05000043,Brunswick Park, ,528433,193715,-0.14588,51.62760162,3175248.87651211,8411.15231498195
19,E05000044,Burnt Oak, ,520522,190761,-0.26113001,51.60279846,2067226.33156101,6779.83427431606
20,E05000045,Childs Hill, ,524656,186687,-0.20291001,51.56529999,3093004.82659815,9327.44922796773
21,E05000046,Colindale, ,521443,189584,-0.24823999,51.59199905,2636243.31580661,8455.92288866754
22,E05000047,Coppetts, ,528052,191830,-0.15207,51.6106987,2720607.34741515,7975.26696561139
23,E05000048,East Barnet, ,527475,195754,-0.15897,51.64609909,3749406.70981854,9677.14481578528
24,E05000049,East Finchley, ,526811,190033,-0.17062999,51.59489822,2509887.94355582,8188.45391428941
25,E05000050,Edgware, ,518863,193351,-0.28420001,51.62639999,5556470.76239636,12882.6963557976
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.59680176,2725663.89653829,8223.78629334553
27,E05000052,Garden Suburb, ,526124,188445,-0.18111999,51.5807991,4727042.34087356,10448.126061994
28,E05000053,Golders Green, ,523819,187290,-0.21477,51.57089996,2972918.40073394,9407.98266378343
29,E05000054,Hale, ,520890,193803,-0.25477001,51.63010025,5423188.52319209,15683.3997399065
30,E05000055,Hendon, ,523084,189557,-0.22458,51.59140015,2838690.87058497,7781.57865906789
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.65539932,8306625.83527062,19783.9224064466
32,E05000057,Mill Hill, ,523111,192066,-0.22330999,51.61399841,9389244.63388741,14778.2590462585
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.6371994,3318594.09697228,11713.9042699024
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.62659836,8774456.73477383,17435.7539611831
35,E05000060,Underhill, ,523991,195493,-0.20939,51.64459991,4550549.97273733,16319.7844292595
36,E05000061,West Finchley, ,525518,191440,-0.18878999,51.60779953,2163447.18931329,7848.15697946824
37,E05000062,West Hendon, ,522394,188065,-0.23504999,51.57820129,3428658.26809919,10262.7293214856
38,E05000063,Woodhouse, ,526776,191859,-0.17048,51.61130142,2621155.48609937,8890.52230880547
39,E05000085,Alperton, ,518344,183853,-0.29488999,51.54119873,2058551.85290667,8981.87065684227
40,E05000086,Barnhill, ,519301,187233,-0.27994999,51.57139969,2979038.73972593,10081.2839500455
41,E05000087,Brondesbury Park, ,523503,184107,-0.22045,51.54240036,1729425.79860484,6877.41250245306
42,E05000088,Dollis Hill, ,522313,186513,-0.23676001,51.56420135,2299551.10876748,7281.38792943182
43,E05000089,Dudden Hill, ,522083,185505,-0.24043,51.55519867,1681456.91940039,9680.38497493148
44,E05000090,Fryent, ,520182,188419,-0.26684001,51.58179855,2659395.96794879,9254.86327242651
45,E05000091,Harlesden, ,521490,183879,-0.24954,51.54069901,1113706.1593687,5242.74666504383
46,E05000092,Kensal Green, ,522352,183277,-0.23732001,51.53509903,1120046.08228579,5676.73085000638
47,E05000093,Kenton, ,517617,188189,-0.30392,51.58029938,2243131.03172335,7666.35074717322
48,E05000094,Kilburn, ,524960,183799,-0.19956,51.53929901,943994.04329637,5241.85310793743
49,E05000095,Mapesbury, ,523466,185443,-0.22051001,51.5544014,1393470.70990281,5797.3623818684
50,E05000096,Northwick Park, ,516716,187252,-0.31722999,51.57210159,2679936.62839316,8748.18635296728
51,E05000097,Preston, ,518208,186413,-0.29598999,51.56420135,2388247.02968416,7412.10263929581
52,E05000098,Queens Park, ,524047,183333,-0.21288,51.53530121,1485622.38169368,6501.01075861175
53,E05000099,Queensbury, ,519681,189604,-0.27366,51.59260178,2051246.21775439,6820.63275634158
54,E05000100,Stonebridge, ,520083,183661,-0.26989001,51.53910065,4050632.3136172,11142.7728410406
55,E05000101,Sudbury, ,516871,185370,-0.31562001,51.55509949,2124781.36805696,8701.53826595898
56,E05000102,Tokyngton, ,519356,185188,-0.27985001,51.5530014,2759200.60536607,7748.04439029223
57,E05000103,Welsh Harp, ,520882,186662,-0.25734001,51.5658989,2318942.17720594,9406.82033182566
58,E05000104,Wembley Central, ,518205,184839,-0.29655999,51.55009842,1604220.92845889,7604.3816089018
59,E05000105,Willesden Green, ,522219,184330,-0.23886999,51.54460144,1548053.8202071,7570.82573512662
60,E05000106,Bickley, ,542443,169027,0.046418,51.40240097,4869086.24200973,10628.4277633739
61,E05000107,Biggin Hill, ,541094,159119,0.023113,51.31370163,8280372.07073786,16486.3429585865
62,E05000108,Bromley Common and Keston, ,542215,165398,0.041692,51.36980057,8308217.58147348,19019.1355553117
63,E05000109,Bromley Town, ,540273,169266,0.015337,51.40510178,3716585.08195978,13694.9578704747
64,E05000110,Chelsfield and Pratts Bottom, ,547216,162725,0.112379,51.34460068,12563169.1288689,23228.0586015889
65,E05000111,Chislehurst, ,544442,170313,0.075659,51.41339874,10441240.5270278,17042.6604232847
66,E05000112,Clock House, ,536163,169328,-0.04369,51.40660095,2266433.50380072,9142.48587416836
67,E05000113,Copers Cope, ,537815,170017,-0.01968,51.41239929,3286947.79622818,11528.1124341573
68,E05000114,Cray Valley East, ,548054,168282,0.12671401,51.39429855,13278631.4821572,20252.864915032
69,E05000115,Cray Valley West, ,546389,168891,0.10305,51.40019989,3938482.47471564,12519.3970211378
70,E05000116,Crystal Palace, ,534382,170280,-0.06892,51.41559982,2291142.28791222,7810.0874015247
71,E05000117,Darwin, ,542742,160113,0.047142,51.32220078,29039643.5855689,31554.911463328
72,E05000118,Farnborough and Crofton, ,544022,164853,0.067413,51.36449814,7005824.18567705,14400.7300995881
73,E05000119,Hayes and Coney Hall, ,539858,165582,0.007927,51.37210083,10823009.9611715,16853.0130885224
74,E05000120,Kelsey and Eden Park, ,537051,167654,-0.03157,51.39139938,5198958.92915616,13400.8097744764
75,E05000121,Mottingham and Chislehurst North, ,542017,172311,0.041613,51.43199921,2441837.17601909,8823.93546667761
76,E05000122,Orpington, ,546890,165750,0.108949,51.37179947,4256202.88064528,9966.122106659
77,E05000123,Penge and Cator, ,535785,170333,-0.04873,51.41579819,2959726.46571417,8669.93441230373
78,E05000124,Petts Wood and Knoll, ,544615,167525,0.07701,51.38830185,4301313.31771032,13269.8344845071
79,E05000125,Plaistow and Sundridge, ,540853,170677,0.024231,51.41759872,4000908.4894703,9896.51993527335
80,E05000126,Shortlands, ,539010,168318,-0.00318,51.39690018,2456677.62086751,8770.17345000098
81,E05000127,West Wickham, ,538494,166071,-0.01146,51.37680054,4410463.64948929,10320.8731745643
82,E05000128,Belsize, ,527236,184686,-0.16643,51.54669952,780566.52359622,3857.52575663361
83,E05000129,Bloomsbury, ,529655,181984,-0.13256,51.52190018,1020926.69537705,4853.36775572213
84,E05000130,Camden Town with Primrose Hill, ,528438,184062,-0.14934,51.54090118,1166150.08154605,5550.60900236702
85,E05000131,Cantelowes, ,529498,184536,-0.13389,51.54489899,759309.9456744,4253.13121336729
86,E05000132,Fortune Green, ,524882,185333,-0.20014,51.55310059,1006507.53386722,5405.26802444329
87,E05000133,Frognal and Fitzjohns, ,526006,185705,-0.1838,51.55619812,1530217.13827026,6168.75029790575
88,E05000134,Gospel Oak, ,528008,185341,-0.15507001,51.55239868,692304.016529915,4414.92264531282
89,E05000135,Hampstead Town, ,526645,186181,-0.17442,51.56029892,2449388.06129495,8373.64111352806
90,E05000136,Haverstock, ,528188,184717,-0.15270001,51.54679871,731760.8770693,4136.16874540391
91,E05000137,Highgate, ,528093,186523,-0.15341,51.56299973,3239257.4701891,7716.38720354896
92,E05000138,Holborn and Covent Garden, ,530905,181692,-0.11466,51.51900101,1194918.60644524,5999.14273694928
93,E05000139,Kentish Town, ,529104,185286,-0.13929,51.55170059,1028981.9530397,4988.00277311403
94,E05000140,Kilburn, ,525799,183940,-0.18741,51.54040146,685155.319075805,5060.7035736646
95,E05000141,King's Cross, ,530349,182567,-0.12235,51.52700043,611353.46057733,3459.45646939069
96,E05000142,Regent's Park, ,528987,182932,-0.14184,51.5306015,1349553.83343646,5813.18635594273
97,E05000143,St Pancras and Somers Town, ,529714,183428,-0.13118,51.53490067,1398922.34812162,5458.31678533247
98,E05000144,Swiss Cottage, ,526951,184106,-0.17075001,51.54159927,1256732.27586683,6964.99719253949
99,E05000145,West Hampstead, ,525653,184819,-0.1892,51.5483017,887295.79768635,5285.52126249241
100,E05000170,Acton Central, ,519997,181039,-0.27202001,51.51549911,1774621.43768868,7593.34304741369
101,E05000171,Cleveland, ,516520,182148,-0.32174,51.52619934,2228552.04253725,9263.58935845531
102,E05000172,Dormers Wells, ,513742,181092,-0.36210999,51.51729965,2257267.40732089,8389.64840705369
103,E05000173,Ealing Broadway, ,517288,181128,-0.31101999,51.51689911,1856766.24209576,6749.58269489667
104,E05000174,Ealing Common, ,518521,180272,-0.29354,51.50889969,2141051.63927231,6868.09938562477
105,E05000175,East Acton, ,520511,182112,-0.26425001,51.52510071,4275907.91939958,13413.1655169258
106,E05000176,Elthorne, ,515828,179675,-0.33252999,51.50419998,1999654.30542008,7509.57839810479
107,E05000177,Greenford Broadway, ,513416,182660,-0.36629999,51.53150177,2516687.27321805,11074.3470256529
108,E05000178,Greenford Green, ,514686,183987,-0.34757,51.54309845,3384774.35937057,11806.6317648893
109,E05000179,Hanger Hill, ,518434,182120,-0.29416999,51.52560043,3277212.69832289,10745.038379246
110,E05000180,Hobbayne, ,515237,181403,-0.34046999,51.51979828,2209361.43595228,6742.30251275849
111,E05000181,Lady Margaret, ,513205,181637,-0.36967,51.52230072,1541811.77879928,6887.85330145119
112,E05000182,Northfield, ,516945,179087,-0.31663001,51.49860001,1540106.42800657,7458.6430790522
113,E05000183,North Greenford, ,516073,184839,-0.32730001,51.55049896,3257410.7797961,10430.0493243926
114,E05000184,Northolt Mandeville, ,512751,184565,-0.37527999,51.54869843,2756668.54239918,8315.7761971961
115,E05000185,Northolt West End, ,511303,183433,-0.39651,51.53879929,3545385.95438022,9917.98705992859
116,E05000186,Norwood Green, ,513779,179256,-0.36217001,51.50080109,3796156.19558577,10650.9707946512
117,E05000187,Perivale, ,516484,183227,-0.32190001,51.53590012,3367721.88935318,11529.1518976196
118,E05000188,South Acton, ,519732,179922,-0.27621999,51.50559998,1719217.60907476,6550.19584209469
119,E05000189,Southall Broadway, ,512575,180254,-0.37919,51.50999832,1617193.97317488,7250.02189329884
120,E05000190,Southall Green, ,511761,179168,-0.39126,51.50040054,1586170.98154994,5962.14129103722
121,E05000191,Southfield, ,520691,179377,-0.26258999,51.50049973,1428683.48747631,5416.10665433081
122,E05000192,Walpole, ,516957,179928,-0.31617999,51.50619888,1465968.52542031,5413.17845024456
123,E05000193,Bowes, ,531483,192089,-0.10245,51.61230087,1483361.31292745,9299.44750616092
124,E05000194,Bush Hill Park, ,532941,194687,-0.08042,51.63529968,2524493.83323949,9538.83003274817
125,E05000195,Chase, ,531422,199207,-0.10066,51.67630005,16935425.0110933,23737.7987224465
126,E05000196,Cockfosters, ,527997,197445,-0.15081,51.66120148,10412779.0894234,19915.8832271112
127,E05000197,Edmonton Green, ,535043,192950,-0.05074,51.61920166,3126443.63400132,9900.483621126
128,E05000198,Enfield Highway, ,536383,197335,-0.02969,51.65829849,4636589.99435537,10053.8229346434
129,E05000199,Enfield Lock, ,536635,198893,-0.02544,51.67219925,3252249.51229707,8336.7839637021
130,E05000200,Grange, ,532157,195682,-0.09137,51.64440155,3285152.46329441,9203.96506581394
131,E05000201,Haselbury, ,533440,193357,-0.07372,51.62319946,1796006.4962825,7059.37602848765
132,E05000202,Highlands, ,530905,197284,-0.10885,51.65909958,5088028.6431602,11847.336533416
133,E05000203,Jubilee, ,535608,194766,-0.04188,51.63539886,3928317.15200253,11275.0197236238
134,E05000204,Lower Edmonton, ,535464,193776,-0.04434,51.62649918,2182478.99332557,8720.12801558299
135,E05000205,Palmers Green, ,531835,192895,-0.09707,51.61940002,1942130.92060259,6837.7396289237
136,E05000206,Ponders End, ,536187,195789,-0.03312,51.64440155,3542952.19304159,9391.99879608505
137,E05000207,Southbury, ,534114,196542,-0.06277,51.65169907,2867063.89851724,8880.46715765784
138,E05000208,Southgate, ,529928,194448,-0.12402,51.63380051,2687232.88263957,9428.97554347089
139,E05000209,Southgate Green, ,529878,192851,-0.12534,51.61949921,2613528.69296579,8252.80992384059
140,E05000210,Town, ,532992,197449,-0.07864,51.66009903,2231376.18895647,7284.45578212627
141,E05000211,Turkey Street, ,535274,198954,-0.04508,51.67309952,2261502.5333326,6897.05549465766
142,E05000212,Upper Edmonton, ,534193,192015,-0.06337,51.61100006,2642407.42573129,10144.546739767
143,E05000213,Winchmore Hill, ,531301,193979,-0.10437,51.62929916,2760676.4806109,9125.71602095328
144,E05000214,Abbey Wood, ,546816,178669,0.113238,51.48789978,2657217.29616889,7875.34267777586
145,E05000215,Blackheath Westcombe, ,540049,177455,0.015356,51.47869873,2138138.54617628,8710.42884765767
146,E05000216,Charlton, ,541457,177891,0.035792,51.4822998,2031217.78984101,7602.3148195419
147,E05000217,Coldharbour and New Eltham, ,543436,172428,0.062059,51.43270111,2549310.45454199,7458.40086866069
148,E05000218,Eltham North, ,543431,175383,0.063184,51.45930099,2555152.55808828,8722.28008904805
149,E05000219,Eltham South, ,543742,174021,0.067105,51.44689941,4626428.57305681,10888.8664448684
150,E05000220,Eltham West, ,541497,175377,0.035362,51.45970154,2425643.87441052,7865.70970688973
151,E05000221,Glyndon, ,544655,178804,0.08219,51.48970032,1701960.37489889,7585.42048517087
152,E05000222,Greenwich West, ,538594,177146,-0.0057,51.47629929,2792375.20715431,9584.06267812054
153,E05000223,Kidbrooke with Hornfair, ,541854,176630,0.041,51.47090149,2374534.49188292,7499.03615347238
154,E05000224,Middle Park and Sutcliffe, ,541117,173988,0.029343,51.44729996,3291449.09866404,11982.0646613075
155,E05000225,Peninsula, ,540033,179031,0.015751,51.49290085,4491921.38151368,9700.12815924018
156,E05000226,Plumstead, ,545924,178299,0.100247,51.48479843,2341905.4256259,9047.0056756622
157,E05000227,Shooters Hill, ,544200,176748,0.074802,51.47129822,3770696.63220893,9599.14576243125
158,E05000228,Thamesmead Moorings, ,545998,180063,0.102041,51.50059891,4812539.99090836,9317.2704744346
159,E05000229,Woolwich Common, ,543528,177730,0.065532,51.4803009,2620376.94249179,8323.43836212088
160,E05000230,Woolwich Riverside, ,542297,178809,0.048251,51.49029922,3261077.52974309,9385.38937270025
161,E05000250,Addison, ,523640,179464,-0.2201,51.50059891,554823.03830625,4062.97238162615
162,E05000251,Askew, ,522018,179714,-0.24337,51.50320053,762494.866154005,5011.63801612108
163,E05000252,Avonmore and Brook Green, ,524042,178845,-0.21453001,51.49489975,896603.501899715,5461.91739771442
164,E05000253,College Park and Old Oak, ,522459,181963,-0.23624,51.52330017,3436569.24340222,9016.05878501805
165,E05000254,Fulham Broadway, ,525088,177577,-0.19992,51.48329926,667962.65115635,3717.06382132605
166,E05000255,Fulham Reach, ,523772,177857,-0.21876,51.48609924,881990.27162903,4872.57063012437
167,E05000256,Hammersmith Broadway, ,523240,178633,-0.22615001,51.49319839,1103045.23297116,5648.67431506151
168,E05000257,Munster, ,524335,176914,-0.21099,51.47750092,624271.375920135,3852.62713833134
169,E05000258,North End, ,524704,178057,-0.20528001,51.48770142,635162.75173997,3578.41544069702
170,E05000259,Palace Riverside, ,523893,176497,-0.2175,51.47389984,1480801.57404487,6977.40496292623
171,E05000260,Parsons Green and Walham, ,525321,176534,-0.19693001,51.47389984,895839.800257285,5920.82476826864
172,E05000261,Ravenscourt Park, ,522145,178873,-0.24183001,51.49560165,1215311.64258319,6403.38924903202
173,E05000262,Sands End, ,525802,176110,-0.19016001,51.47000122,1378091.34866745,6236.55110510277
174,E05000263,Shepherd's Bush Green, ,523240,180112,-0.22563,51.50650024,1068169.29315916,5421.06534566876
175,E05000264,Town, ,524862,176732,-0.20347001,51.47579956,651313.54047984,3997.4719496549
176,E05000265,Wormholt and White City, ,522339,180556,-0.23845001,51.51070023,901620.90016308,4240.7999993674
177,E05000266,Alexandra, ,529523,190387,-0.13136999,51.59740067,2613867.28908619,7989.27928923143
178,E05000267,Bounds Green, ,530243,191164,-0.12069,51.60430145,1386202.54532711,6037.0481463982
179,E05000268,Bruce Grove, ,533305,190094,-0.07691,51.59389877,936577.842248385,4605.4588515535
180,E05000269,Crouch End, ,529666,188263,-0.13009,51.57830048,1440391.60704955,6483.85584976987
181,E05000270,Fortis Green, ,528059,189699,-0.15275,51.59159851,1990720.34117949,10075.5907229193
182,E05000271,Harringay, ,531449,188211,-0.1044,51.57740021,1566078.32894936,7027.72179847879
183,E05000272,Highgate, ,528141,188258,-0.15209,51.57860184,2494853.94825685,9762.11688078453
184,E05000273,Hornsey, ,530433,189213,-0.11868,51.58670044,1053925.49814371,5340.46108047748
185,E05000274,Muswell Hill, ,529197,189172,-0.13652,51.58660126,1653253.24787843,7776.36268329677
186,E05000275,Noel Park, ,531193,190038,-0.10741,51.59389877,1225624.55978286,5053.39682266397
187,E05000276,Northumberland Park, ,534515,191132,-0.05906,51.60300064,1888031.86812859,8323.46263817078
188,E05000277,St Ann's, ,532437,188747,-0.08994,51.58200073,1093801.42127228,5396.89334237401
189,E05000278,Seven Sisters, ,533558,188427,-0.0739,51.57889938,1294641.66364564,6935.63982672966
190,E05000279,Stroud Green, ,530914,188013,-0.11218,51.57580185,1093737.98162939,5312.58372569147
191,E05000280,Tottenham Green, ,533648,189087,-0.07235,51.58480072,1359647.56063797,5602.29500854149
192,E05000281,Tottenham Hale, ,534521,189778,-0.05949,51.59080124,1911890.55339735,7446.61921955121
193,E05000282,West Green, ,532322,189860,-0.09118,51.59209824,1399139.10139062,5315.28216019189
194,E05000283,White Hart Lane, ,532755,191140,-0.08445,51.60350037,1698838.46347685,6208.7605358335
195,E05000284,Woodside, ,531516,190985,-0.10239,51.60229874,1497164.50242775,6023.76834910967
196,E05000285,Belmont, ,516977,190886,-0.31224999,51.60469818,1777019.06740852,7789.96896569108
197,E05000286,Canons, ,517364,193105,-0.30592,51.62450027,5626367.37870687,12841.0981487175
198,E05000287,Edgware, ,519250,190753,-0.27948999,51.60300064,1403186.40291702,5722.29186263803
199,E05000288,Greenhill, ,515788,188408,-0.33023,51.58259964,1744878.26071216,7346.86047038313
200,E05000289,Harrow on the Hill, ,515118,186510,-0.34051999,51.56570053,3572093.38617571,9647.07682671634
201,E05000290,Harrow Weald, ,514533,191919,-0.34718999,51.61449814,4589699.70311109,11854.4674115494
202,E05000291,Hatch End, ,512921,191417,-0.37062001,51.61029816,3278671.59357113,9829.7955815338
203,E05000292,Headstone North, ,513617,190017,-0.36103001,51.59749985,3296330.34289709,10519.0357171619
204,E05000293,Headstone South, ,514234,188930,-0.35247999,51.58769989,1467625.45343109,6269.59934551026
205,E05000294,Kenton East, ,518376,189314,-0.29258999,51.59019852,1279285.68219995,5885.74018324358
206,E05000295,Kenton West, ,516719,189385,-0.31647,51.59120178,1764589.19501541,6947.82065301667
207,E05000296,Marlborough, ,515460,189535,-0.33458999,51.59280014,1646606.83651321,7757.81869293059
208,E05000297,Pinner, ,511546,190587,-0.39074001,51.60309982,3277403.80198077,10717.5894222453
209,E05000298,Pinner South, ,511946,188424,-0.38565001,51.58359909,2345612.90420639,8273.77038170535
210,E05000299,Queensbury, ,518098,190294,-0.29627001,51.59909821,1613618.57996786,8488.70586780951
211,E05000300,Rayners Lane, ,512676,187662,-0.37537,51.57659912,1529741.7912372,7057.83777980444
212,E05000301,Roxbourne, ,513439,186514,-0.36473,51.56610107,1505752.96911021,7146.94120504956
213,E05000302,Roxeth, ,513565,185739,-0.36316001,51.5591011,1574931.06005071,6420.29804453481
214,E05000303,Stanmore Park, ,516121,192156,-0.32418999,51.61629868,4459267.68287953,10694.927745042
215,E05000304,Wealdstone, ,515202,190225,-0.33809,51.59909821,1195978.1033871,5728.75123693029
216,E05000305,West Harrow, ,514018,187733,-0.35598001,51.57690048,1514651.5024942,6581.06527879473
217,E05000306,Brooklands, ,550276,188279,0.16713101,51.57329941,4202620.98762172,10966.4080531816
218,E05000307,Cranham, ,557231,188611,0.26755899,51.57440186,6555071.78633125,14168.7412472225
219,E05000308,Elm Park, ,552366,185008,0.195851,51.54339981,3665336.27095992,10727.1453203262
220,E05000309,Emerson Park, ,554963,188650,0.234874,51.57540131,4642409.63911812,14016.39634549
221,E05000310,Gooshays, ,554454,193214,0.229542,51.61660004,7758960.90347546,15759.1015220044
222,E05000311,Hacton, ,553932,185873,0.218793,51.55080032,2465418.26797502,8153.3097057302
223,E05000312,Harold Wood, ,555514,190681,0.243717,51.59349823,7589720.09195133,16402.7040781696
224,E05000313,Havering Park, ,550821,192588,0.17684101,51.61190033,9783265.68256979,15576.6284453802
225,E05000314,Heaton, ,552987,191694,0.207707,51.60329819,3415656.54627626,11227.4353532015
226,E05000315,Hylands, ,552410,187242,0.19745199,51.56349945,2897747.36358052,7707.5560810355
227,E05000316,Mawneys, ,549815,190223,0.161313,51.59090042,3042642.13833212,9272.10044518488
228,E05000317,Pettits, ,551723,190487,0.188949,51.59280014,3954582.70884325,10645.067339847
229,E05000318,Rainham and Wennington, ,553466,181382,0.210124,51.51050186,16880093.9942445,20766.7189777765
230,E05000319,Romford Town, ,551678,188724,0.187538,51.57699966,2864699.63133162,10467.9943903552
231,E05000320,St Andrew's, ,554297,186889,0.224499,51.55979919,2677112.6275414,8825.65403794679
232,E05000321,South Hornchurch, ,551224,182592,0.17836,51.52199936,6873156.20760163,13313.8986570892
233,E05000322,Squirrel's Heath, ,553615,189464,0.215792,51.58309937,2651478.50922491,9100.10489992865
234,E05000323,Upminster, ,557943,185012,0.27621001,51.54190063,22537299.3055535,26134.2352656567
235,E05000324,Barnhill, ,510497,181987,-0.40858001,51.52600098,2118238.44389763,6752.64021453102
236,E05000325,Botwell, ,509045,180623,-0.42991999,51.51399994,4362798.51277649,11202.6493061003
237,E05000326,Brunel, ,507000,182115,-0.45892999,51.52780151,3276876.63111628,11190.4341499677
238,E05000327,Cavendish, ,511186,186761,-0.39714,51.56880188,2011443.75267376,6530.19599836782
239,E05000328,Charville, ,509253,182706,-0.42627999,51.53269958,2974323.40015075,7958.58484552567
240,E05000329,Eastcote and East Ruislip, ,510109,188450,-0.41215,51.58420181,4063448.85335771,11697.385506975
241,E05000330,Harefield, ,506012,189747,-0.47086999,51.59659958,15227014.3901417,20686.2964578992
242,E05000331,Heathrow Villages, ,507064,176573,-0.45969,51.47800064,23521186.1846805,22319.3352810837
243,E05000332,Hillingdon East, ,508299,183518,-0.43978,51.54019928,3598133.34422491,10606.1243708155
244,E05000333,Ickenham, ,506720,186158,-0.46173999,51.56420135,6204433.54827115,11710.0640326922
245,E05000334,Manor, ,509924,186852,-0.41532001,51.56980133,1974136.12248867,6581.26490883317
246,E05000335,Northwood, ,508323,190763,-0.43720001,51.6053009,7397928.03594453,13547.066163161
247,E05000336,Northwood Hills, ,510181,190309,-0.41053,51.60079956,3328541.0418668,10723.5714929901
248,E05000337,Pinkwell, ,508737,178976,-0.43487,51.4992981,2748308.23275382,7591.29586125737
249,E05000338,South Ruislip, ,510647,185281,-0.40538001,51.55559921,7417901.48438106,16496.9435391938
250,E05000339,Townfield, ,510502,180133,-0.40909001,51.50930023,3498308.87565666,8521.46409778719
251,E05000340,Uxbridge North, ,506411,184210,-0.46678001,51.54679871,4641165.17694732,9899.21755376445
252,E05000341,Uxbridge South, ,505228,182845,-0.48424,51.53469849,3114475.44462964,10070.5407828464
253,E05000342,West Drayton, ,505843,179232,-0.47646999,51.5021019,3490747.80025679,10276.018805809
254,E05000343,West Ruislip, ,508460,187549,-0.43621999,51.57640076,4387403.82963817,13083.5623825073
255,E05000344,Yeading, ,511898,181627,-0.38850999,51.52249908,2321227.33352323,6589.91961732617
256,E05000345,Yiewsley, ,506757,180915,-0.46279001,51.51710129,4022509.70491904,10676.6540062832
257,E05000346,Bedfont, ,508369,173749,-0.44176999,51.45240021,4448395.81821126,12323.7306567511
258,E05000347,Brentford, ,518290,178487,-0.29747,51.49300003,3183526.728223,11883.5318720162
259,E05000348,Chiswick Homefields, ,521142,176822,-0.25698,51.47740173,2259235.44628994,9662.65660681245
260,E05000349,Chiswick Riverside, ,520109,177306,-0.27168,51.48199844,2080069.29059988,6554.06224259431
261,E05000350,Cranford, ,510891,176182,-0.40472001,51.47370148,2726267.43294667,9489.18682197901
262,E05000351,Feltham North, ,510654,174417,-0.40869001,51.457901,3384549.9805597,8823.29100653448
263,E05000352,Feltham West, ,509176,172401,-0.43057001,51.44010162,3181054.41490309,9478.70350124275
264,E05000353,Hanworth, ,511816,171122,-0.39300999,51.42810059,3232601.88680931,12206.8522404435
265,E05000354,Hanworth Park, ,511026,172421,-0.40395999,51.43989944,3661212.3594958,8462.59753862262
266,E05000355,Heston Central, ,512435,176640,-0.38236001,51.4776001,1684782.21133556,7201.46374296172
267,E05000356,Heston East, ,513221,177431,-0.37079,51.48450089,2059105.07041643,12338.3594427544
268,E05000357,Heston West, ,511443,177593,-0.39633,51.48630142,3826591.94884823,8449.55198127642
269,E05000358,Hounslow Central, ,514227,175818,-0.35683,51.46979904,1733934.27045146,5735.03128692116
270,E05000359,Hounslow Heath, ,512321,174536,-0.38466999,51.45869827,2781817.6085754,7642.69421704552
271,E05000360,Hounslow South, ,514848,175341,-0.34805,51.4654007,1790104.45048987,7041.66006756087
272,E05000361,Hounslow West, ,512567,175570,-0.38080001,51.46789932,1620145.20763748,6490.06851605048
273,E05000362,Isleworth, ,516094,175250,-0.33015001,51.46429825,2030916.47337295,7734.96197549803
274,E05000363,Osterley and Spring Grove, ,515208,177597,-0.34213001,51.48559952,6277861.89043964,12280.1821030021
275,E05000364,Syon, ,517093,177049,-0.31518,51.4803009,2853761.87385179,9104.36893350775
276,E05000365,Turnham Green, ,519675,178753,-0.27744001,51.49509811,1769512.03597239,7222.00165078642
277,E05000366,Barnsbury, ,531071,183811,-0.11149,51.5379982,830100.97819577,4345.28663127005
278,E05000367,Bunhill, ,532281,182438,-0.09456,51.52539825,1082624.99224328,6479.4889903711
279,E05000368,Caledonian, ,530558,183901,-0.11884,51.53889847,1136134.46677045,5271.38897132809
